2026-07-26T21:26:02.445232 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-26T21:26:02.445750 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-26T21:26:08.635861 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-26T21:36:32.925256 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-26T21:36:32.925620 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-26T21:36:39.091454 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-26T21:45:57.147170 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-26T21:45:57.148172 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-26T21:46:02.625704 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-26T21:51:10.642485 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-26T21:51:10.642841 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-26T21:51:14.626130 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-26T21:57:03.006422 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-26T21:57:03.007400 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-26T21:57:08.097111 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-26T21:58:12.761772 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-26T21:58:12.762177 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-26T21:58:16.247913 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-26T23:00:33.634005 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-26T23:00:33.635418 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-26T23:00:41.390298 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-26T23:52:18.402449 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-26T23:52:18.402892 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-26T23:52:24.908088 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-27T19:46:14.121616 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-27T19:46:14.122550 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-27T19:46:22.101257 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-27T19:48:10.343822 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-27T19:48:10.344168 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-27T19:48:16.488123 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-27T21:27:53.303602 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-27T21:27:53.304467 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
2026-07-27T21:27:59.110997 | ERROR    | partow.ErrorHandler  | log_error       | 187  | [AttributeError] 'ReportsPage' object has no attribute 'create_summary_tab'
2026-07-27T21:27:59.113115 | ERROR    | partow.Main          | log_error       | 187  | ❌ خطای غیرمنتظره: 'ReportsPage' object has no attribute 'create_summary_tab'
2026-07-27T21:31:19.574771 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 12
2026-07-27T21:31:19.575123 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users']
